Line	Inputs	Frames	Time	Position	Speed	State	Statuses	Entities
3	1/1	1	0:17.901(1053)	253.000000000000, -16.000000000000	0.00, 0.00	StNormal	CanDash Ground 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 1 (0) Theo:  TheoCantGrab: 
7	1/40	2	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	2/40	3	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	3/40	4	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	4/40	5	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	5/40	6	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	6/40	7	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	7/40	8	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	8/40	9	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	9/40	10	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	10/40	11	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	11/40	12	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	12/40	13	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	13/40	14	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
7	14/40	15	0:00.000(0)	0.000000000000, 144.000000000000	0.00, 0.00	StIntroRespawn	NoControl Paused 	Wind: 0.00, 0.00 AutoJump: False (0) ForceMoveX: 0 (0) Theo:  TheoCantGrab: 
